date,nav,daily_return,regime,n_positions,gross_exposure,costs
2012-01-30,1013078.94,0.009571,Stagflation,9,1302920.5,25.14
2012-01-31,1010572.95,-0.002474,Goldilocks,9,1246622.02,40.49
2012-02-01,996166.49,-0.014256,Goldilocks,11,1469559.99,61.46
2012-02-02,1002019.02,0.005875,Goldilocks,10,1299133.0,56.27
2012-02-03,991401.09,-0.010597,Goldilocks,10,1324688.0,41.93
2012-02-06,998971.27,0.007636,Goldilocks,9,1212856.5,40.83
2012-02-07,993949.65,-0.005027,Goldilocks,9,1293359.25,23.87
2012-02-08,991207.47,-0.002759,Goldilocks,10,1293110.99,37.42
2012-02-09,990326.0,-0.000889,Goldilocks,9,1138085.24,72.46
2012-02-10,999054.26,0.008814,Goldilocks,8,1167937.99,25.23
2012-02-13,1005680.4,0.006632,Goldilocks,9,974646.01,125.88
2012-02-14,1014863.77,0.009131,Goldilocks,9,918894.5,82.22
2012-02-15,1016938.23,0.002044,Goldilocks,9,1200497.02,110.53
2012-02-16,1017597.41,0.000648,Goldilocks,9,1224441.01,95.81
2012-02-17,1019193.9,0.001569,Goldilocks,8,1105079.0,94.99
2012-02-21,1027309.44,0.007963,Goldilocks,10,1231351.73,78.98
2012-02-22,1024031.96,-0.00319,Goldilocks,11,1234108.88,104.73
2012-02-23,1018565.16,-0.005339,Goldilocks,11,1214935.45,132.26
2012-02-24,1017369.51,-0.001174,Goldilocks,10,943010.25,123.22
2012-02-27,1015648.44,-0.001692,Goldilocks,8,859728.0,38.84
2012-02-28,1014945.56,-0.000692,Goldilocks,10,1041434.2,82.87
2012-02-29,1026863.9,0.011743,Goldilocks,9,977043.26,177.29
2012-03-01,1020127.63,-0.00656,Goldilocks,10,837225.15,141.88
2012-03-02,1027248.6,0.00698,Goldilocks,9,981282.45,104.74
2012-03-05,1031762.5,0.004394,Goldilocks,9,983729.5,90.79
2012-03-06,1031823.05,5.9e-05,Goldilocks,8,1127780.79,118.15
2012-03-07,1031066.98,-0.000733,Goldilocks,8,1000508.07,69.58
