date,nav,daily_return,regime,n_positions,gross_exposure,costs
2011-06-01,976593.57,-0.001915,Goldilocks,10,1010996.9,79.86
2011-06-02,969566.7,-0.007195,Goldilocks,9,930948.81,28.29
2011-06-03,971390.79,0.001881,Goldilocks,8,833537.99,49.02
2011-06-06,969357.98,-0.002093,Goldilocks,7,879514.51,76.81
2011-06-07,969654.11,0.000305,Goldilocks,7,875253.3,60.12
2011-06-08,967841.83,-0.001869,Goldilocks,10,1014227.89,54.36
2011-06-09,981254.21,0.013858,Goldilocks,9,971371.83,19.09
2011-06-10,971522.25,-0.009918,Goldilocks,8,872219.9,35.0
2011-06-13,969253.82,-0.002335,Goldilocks,7,720407.5,61.63
2011-06-14,977578.98,0.008589,Goldilocks,8,855613.7,48.84
2011-06-15,969552.1,-0.008211,Goldilocks,7,827587.74,50.66
2011-06-16,980839.15,0.011642,Goldilocks,7,815921.1,126.46
2011-06-17,984936.57,0.004177,Goldilocks,7,869162.99,104.11
2011-06-20,986503.15,0.001591,Goldilocks,8,886009.49,59.39
2011-06-21,981191.16,-0.005385,Goldilocks,8,920235.01,58.75
2011-06-22,991151.96,0.010152,Goldilocks,10,974523.31,62.99
2011-06-23,970101.71,-0.021238,Goldilocks,10,1061727.09,95.35
2011-06-24,963569.42,-0.006734,Goldilocks,10,946838.59,60.97
2011-06-27,958842.32,-0.004906,Goldilocks,9,944369.55,17.81
2011-06-28,959832.54,0.001033,Goldilocks,10,971157.39,41.14
2011-06-29,972539.08,0.013238,Goldilocks,9,858595.41,41.95
2011-06-30,973993.59,0.001496,Stagflation,9,947125.4,39.49
2011-07-01,969121.4,-0.005002,Stagflation,10,1031997.0,41.8
2011-07-05,974858.2,0.00592,Stagflation,9,932309.21,26.38
2011-07-06,979789.86,0.005059,Stagflation,9,1032337.6,20.76
2011-07-07,995917.05,0.01646,Stagflation,9,889449.99,35.2
2011-07-08,993421.84,-0.002505,Stagflation,9,863697.3,39.77
2011-07-11,987026.31,-0.006438,Stagflation,9,826032.25,23.72
2011-07-12,986573.47,-0.000459,Stagflation,9,928181.46,20.55
2011-07-13,998583.82,0.012174,Stagflation,7,778592.14,86.35
2011-07-14,999221.75,0.000639,Stagflation,10,892616.8,70.2
2011-07-15,999086.23,-0.000136,Stagflation,9,815213.01,29.23
2011-07-18,996919.03,-0.002169,Stagflation,9,953733.39,59.59
2011-07-19,998202.17,0.001287,Stagflation,9,795970.5,49.47
2011-07-20,1001859.86,0.003664,Stagflation,9,941557.81,46.11
2011-07-21,1006121.93,0.004254,Stagflation,10,923651.15,86.03
2011-07-22,1014307.24,0.008136,Stagflation,8,712212.76,52.77
2011-07-25,1013524.2,-0.000772,Stagflation,10,867272.61,45.14
2011-07-26,1015217.73,0.001671,Stagflation,9,782119.79,31.68
2011-07-27,1012539.3,-0.002638,Stagflation,9,780392.95,24.58
2011-07-28,1016174.88,0.003591,Stagflation,9,863134.4,30.61
2011-07-29,1014682.34,-0.001469,Stagflation,10,1040466.21,61.03
2011-08-01,1013863.2,-0.000807,Stagflation,10,858486.79,45.74
2011-08-02,1010300.18,-0.003514,Stagflation,10,875254.31,17.54
2011-08-03,996649.49,-0.013512,Stagflation,9,756343.4,23.78
2011-08-04,981282.1,-0.015419,Stagflation,11,978322.2,106.19
2011-08-05,982864.53,0.001613,Stagflation,11,958492.3,25.18
2011-08-08,967645.87,-0.015484,Stagflation,11,834141.6,67.22
2011-08-09,961228.83,-0.006632,Stagflation,11,895865.8,24.24
2011-08-10,973231.73,0.012487,Stagflation,11,1030359.84,63.41
2011-08-11,982901.35,0.009936,Stagflation,10,875604.0,73.26
2011-08-12,985962.21,0.003114,Stagflation,11,1123529.06,64.96
2011-08-15,992960.65,0.007098,Stagflation,11,1217557.44,44.94
2011-08-16,990570.21,-0.002407,Stagflation,10,971257.8,51.79
2011-08-17,998693.37,0.0082,Stagflation,10,1078678.79,69.34
2011-08-18,978307.99,-0.020412,Stagflation,11,1065890.49,44.08
2011-08-19,988680.06,0.010602,Stagflation,10,955443.66,66.34
2011-08-22,990448.66,0.001789,Stagflation,10,970199.6,10.84
2011-08-23,996883.35,0.006497,Stagflation,11,1155247.96,68.17
2011-08-24,1004376.44,0.007517,Stagflation,10,1250975.72,79.67
2011-08-25,1025366.93,0.020899,Stagflation,10,1127540.83,30.61
2011-08-26,1025936.59,0.000556,Stagflation,10,1083144.39,41.92
2011-08-29,1022709.22,-0.003146,Stagflation,11,1153615.21,46.18
2011-08-30,1041123.12,0.018005,Stagflation,11,1240188.99,40.89
2011-08-31,1048661.75,0.007241,Stagflation,10,1153665.9,28.27
2011-09-01,1040543.08,-0.007742,Stagflation,9,999198.39,43.0
2011-09-02,1036901.79,-0.003499,Stagflation,12,1316358.2,128.11
2011-09-06,1023125.73,-0.013286,Stagflation,12,1097906.54,69.67
2011-09-07,1037265.73,0.01382,Stagflation,10,1152410.68,72.39
2011-09-08,1037999.46,0.000707,Stagflation,10,1018990.8,120.0
2011-09-09,1019461.64,-0.017859,Stagflation,11,1058433.6,144.27
2011-09-12,999922.37,-0.019166,Stagflation,11,1045348.56,48.07
2011-09-13,1006508.66,0.006587,Stagflation,12,1112880.8,40.46
2011-09-14,1003579.79,-0.00291,Stagflation,9,962487.21,50.27
2011-09-15,1011367.94,0.00776,Stagflation,9,1015415.89,75.54
2011-09-16,1017700.47,0.006261,Stagflation,8,1028597.9,91.76
2011-09-19,1001675.03,-0.015747,Stagflation,8,725686.26,136.04
2011-09-20,1009189.55,0.007502,Stagflation,9,837368.86,43.08
2011-09-21,1008253.09,-0.000928,Stagflation,9,891566.75,59.35
2011-09-22,977005.3,-0.030992,Stagflation,8,969376.22,103.77
2011-09-23,910413.07,-0.06816,Stagflation,9,847416.0,44.51
2011-09-26,907459.62,-0.003244,Stagflation,8,844430.81,27.26
2011-09-27,927750.6,0.02236,Stagflation,8,878285.7,23.9
2011-09-28,914962.03,-0.013784,Stagflation,12,1123427.19,61.56
2011-09-29,918777.94,0.004171,Stagflation,11,1045722.1,27.5
2011-09-30,919624.93,0.000922,Stagflation,10,1043761.5,116.53
2011-10-03,917319.26,-0.002507,Stagflation,9,857231.01,75.64
2011-10-04,917147.6,-0.000187,Stagflation,12,1164155.61,78.48
2011-10-05,922012.22,0.005304,Stagflation,10,971353.4,60.37
